date,env,host,topology,delay_ms,loss_pct,disruption,payload_size_mb,bundle_size_bytes,bundle_rate,payload_bytes_override,duration_sec,wall_clock_total_sec,bpgen_exit_status,iperf_mbps,hdtn_interval_rate_avg_mbps,hdtn_delivered_goodput_mbps,hdtn_wall_goodput_mbps,normalized_efficiency,cpu_avg_pct,mem_rss_mb,notes
,cloud-vm,,,,,,,,,,,,,,5901.2079,,,,,,parsed_from=B1;n_interval_samples=14;rx_count=46463;duplicate_count=2840
,cloud-vm,,,,,,,,,,,,,,6837.8036,,,,,,parsed_from=B1-v2;n_interval_samples=14;rx_count=53557;duplicate_count=3507
,cloud-vm,,,,,,,,,,,,,,1.6777,,,,,,parsed_from=B2;n_interval_samples=88;rx_count=88;duplicate_count=0
,cloud-vm,,,,,,1,1048576,0,,60,264.6,exited_normally,,1.6777,3.4953,0.7926,,,,parsed_from=B2-r2;n_interval_samples=25;rx_count=25;duplicate_count=0
,cloud-vm,,,,,,,,,,,,,,7352.7033,,,,,,parsed_from=C1;n_interval_samples=13;rx_count=49389;duplicate_count=7590
,cloud-vm,,,,,,,,,,,,,,1.6777,,,,,,parsed_from=C1-D;n_interval_samples=6;rx_count=6;duplicate_count=0
,cloud-vm,,,,,,,,,,,,,,7283.8453,,,,,,parsed_from=C1-pcap;n_interval_samples=13;rx_count=49191;duplicate_count=7252
,cloud-vm,,,,,,,,,,,,,,6301.5233,,,,,,parsed_from=C1-pcap-v2;n_interval_samples=13;rx_count=42515;duplicate_count=6357
,cloud-vm,,,,,,1,1048576,,,5,30.1,timeout_killed,,,0.0000,0.0000,,,,parsed_from=SMOKE;INCOMPLETE_LOWER_BOUND(bpgen_timeout_killed);rx_count=0;duplicate_count=0
,cloud-vm,,,,,,1,1048576,,,5,48.9,timeout_killed,,1.6777,5.0332,0.5146,,,,parsed_from=SMOKE-drain15;INCOMPLETE_LOWER_BOUND(bpgen_timeout_killed);n_interval_samples=3;rx_count=3;duplicate_count=0
,cloud-vm,,,,,,1,65536,1,65536,5,28.9,exited_normally,,0.2097,0.6291,0.1088,,,,parsed_from=SMOKE-light;n_interval_samples=3;rx_count=6;duplicate_count=0
,cloud-vm,,,,,,1,65536,1,65536,5,79.1,exited_normally,,0.2097,0.6291,0.0398,,,,parsed_from=SMOKE-light-delay650;n_interval_samples=3;rx_count=6;duplicate_count=0
,cloud-vm,,,,,,1,1048576,1,,5,53.9,timeout_killed,,1.6777,6.7109,0.6225,,,,parsed_from=SMOKE-rate1;INCOMPLETE_LOWER_BOUND(bpgen_timeout_killed);n_interval_samples=3;rx_count=4;duplicate_count=0
,cloud-vm,,,,,,1,1048576,1,,5,71.9,exited_normally,,1.6775,10.0663,0.7000,,,,parsed_from=SMOKE-rate1-grace60;n_interval_samples=6;rx_count=6;duplicate_count=0
,cloud-vm,,,,,,1,1048576,,,5,27.9,timeout_killed,,,0.0000,0.0000,,,,parsed_from=SMOKE-smallwin;INCOMPLETE_LOWER_BOUND(bpgen_timeout_killed);rx_count=0;duplicate_count=0
,cloud-vm,,,,,,1,1048576,,,5,30.1,timeout_killed,,,0.0000,0.0000,,,,parsed_from=SMOKE-smallwin-v2;INCOMPLETE_LOWER_BOUND(bpgen_timeout_killed);rx_count=0;duplicate_count=0
